n,true_p,false_p,n_nodes,h,seed,method,shd,recall,precision,fdr,fpr
300,0.4,0.2,30,2,8675309,no_constraint,77,0.6984,0.419,0.581,0.164
300,0.4,0.0,30,2,3407,with_constraint_adj,70,0.8923,0.4754,0.5246,0.173
300,0.4,0.0,30,2,3407,with_constraint_tc,85,0.7846,0.408,0.592,0.2
300,0.4,0.0,30,2,3407,no_constraint,67,0.7692,0.4854,0.5146,0.1432
300,0.4,0.0,30,2,7331,with_constraint_adj,75,0.8871,0.4435,0.5565,0.185
300,0.4,0.0,30,2,7331,with_constraint_tc,84,0.8065,0.4065,0.5935,0.1957
300,0.4,0.0,30,2,7331,no_constraint,86,0.871,0.4091,0.5909,0.2091
300,0.4,0.0,30,2,104729,with_constraint_adj,68,0.8364,0.434,0.566,0.1579
300,0.4,0.0,30,2,104729,with_constraint_tc,73,0.7091,0.3939,0.6061,0.1579
300,0.4,0.0,30,2,104729,no_constraint,80,0.6909,0.3619,0.6381,0.1763
300,0.4,0.0,30,2,8675309,with_constraint_adj,65,0.8413,0.4862,0.5138,0.1505
300,0.4,0.0,30,2,8675309,with_constraint_tc,74,0.6667,0.4286,0.5714,0.1505
300,0.4,0.0,30,2,8675309,no_constraint,70,0.7143,0.4545,0.5455,0.1452
300,0.6,0.2,30,2,3407,with_constraint_adj,67,0.9077,0.4876,0.5124,0.1676
300,0.6,0.2,30,2,3407,with_constraint_tc,87,0.7077,0.3966,0.6034,0.1892
300,0.6,0.2,30,2,3407,no_constraint,72,0.7538,0.4537,0.5463,0.1595
300,0.6,0.2,30,2,7331,with_constraint_adj,85,0.8871,0.4135,0.5865,0.2091
300,0.6,0.2,30,2,7331,with_constraint_tc,62,0.7258,0.4839,0.5161,0.1287
300,0.6,0.2,30,2,7331,no_constraint,85,0.8226,0.4048,0.5952,0.2011
300,0.6,0.2,30,2,104729,with_constraint_adj,57,0.8545,0.4845,0.5155,0.1316
300,0.6,0.2,30,2,104729,with_constraint_tc,61,0.7091,0.4588,0.5412,0.1211
300,0.6,0.2,30,2,104729,no_constraint,73,0.7091,0.39,0.61,0.1605
300,0.6,0.2,30,2,8675309,with_constraint_adj,68,0.8571,0.4696,0.5304,0.164
300,0.6,0.2,30,2,8675309,with_constraint_tc,79,0.7143,0.4167,0.5833,0.1694
300,0.6,0.2,30,2,8675309,no_constraint,79,0.7143,0.4091,0.5909,0.1747
300,0.6,0.0,30,2,3407,with_constraint_adj,76,0.9385,0.4586,0.5414,0.1946
300,0.6,0.0,30,2,3407,with_constraint_tc,71,0.7538,0.4623,0.5377,0.1541
300,0.6,0.0,30,2,3407,no_constraint,71,0.7692,0.463,0.537,0.1568
300,0.6,0.0,30,2,7331,with_constraint_adj,79,0.9194,0.4351,0.5649,0.1984
300,0.6,0.0,30,2,7331,with_constraint_tc,64,0.7581,0.4845,0.5155,0.134
300,0.6,0.0,30,2,7331,no_constraint,89,0.8387,0.3969,0.6031,0.2118
300,0.6,0.0,30,2,104729,with_constraint_adj,56,0.8727,0.4898,0.5102,0.1316
300,0.6,0.0,30,2,104729,with_constraint_tc,69,0.7273,0.4167,0.5833,0.1474
300,0.6,0.0,30,2,104729,no_constraint,69,0.7273,0.404,0.596,0.1553
300,0.6,0.0,30,2,8675309,with_constraint_adj,68,0.873,0.4701,0.5299,0.1667
300,0.6,0.0,30,2,8675309,with_constraint_tc,69,0.6508,0.4505,0.5495,0.1344
300,0.6,0.0,30,2,8675309,no_constraint,74,0.746,0.4352,0.5648,0.164
