n,true_p,false_p,n_nodes,h,seed,method,shd,recall,precision,fdr,fpr
300,0.4,0.2,30,2,8675309,no_constraint,77,0.7302,0.4259,0.5741,0.1667
300,0.4,0.0,30,2,3407,with_constraint_adj,104,0.8769,0.3677,0.6323,0.2649
300,0.4,0.0,30,2,3407,with_constraint_tc,71,0.7385,0.466,0.534,0.1486
300,0.4,0.0,30,2,3407,no_constraint,82,0.7385,0.4174,0.5826,0.1811
300,0.4,0.0,30,2,7331,with_constraint_adj,111,0.8871,0.3459,0.6541,0.2788
300,0.4,0.0,30,2,7331,with_constraint_tc,70,0.8065,0.4587,0.5413,0.1582
300,0.4,0.0,30,2,7331,no_constraint,86,0.8226,0.4016,0.5984,0.2038
300,0.4,0.0,30,2,104729,with_constraint_adj,82,0.8182,0.3846,0.6154,0.1895
300,0.4,0.0,30,2,104729,with_constraint_tc,63,0.6545,0.439,0.561,0.1211
300,0.4,0.0,30,2,104729,no_constraint,80,0.7091,0.3611,0.6389,0.1816
300,0.4,0.0,30,2,8675309,with_constraint_adj,130,0.8254,0.3006,0.6994,0.3253
300,0.4,0.0,30,2,8675309,with_constraint_tc,69,0.6508,0.4505,0.5495,0.1344
300,0.4,0.0,30,2,8675309,no_constraint,72,0.7302,0.4466,0.5534,0.1532
300,0.6,0.2,30,2,3407,with_constraint_adj,133,0.8462,0.3073,0.6927,0.3351
300,0.6,0.2,30,2,3407,with_constraint_tc,75,0.7538,0.4455,0.5545,0.1649
300,0.6,0.2,30,2,3407,no_constraint,76,0.7692,0.4425,0.5575,0.1703
300,0.6,0.2,30,2,7331,with_constraint_adj,126,0.9677,0.3261,0.6739,0.3324
300,0.6,0.2,30,2,7331,with_constraint_tc,64,0.6613,0.4881,0.5119,0.1153
300,0.6,0.2,30,2,7331,no_constraint,70,0.8065,0.4545,0.5455,0.1609
300,0.6,0.2,30,2,104729,with_constraint_adj,104,0.8909,0.3333,0.6667,0.2579
300,0.6,0.2,30,2,104729,with_constraint_tc,61,0.7091,0.4535,0.5465,0.1237
300,0.6,0.2,30,2,104729,no_constraint,81,0.6909,0.3585,0.6415,0.1789
300,0.6,0.2,30,2,8675309,with_constraint_adj,173,0.8254,0.2396,0.7604,0.4435
300,0.6,0.2,30,2,8675309,with_constraint_tc,60,0.5873,0.5068,0.4932,0.0968
300,0.6,0.2,30,2,8675309,no_constraint,71,0.746,0.4519,0.5481,0.1532
300,0.6,0.0,30,2,3407,with_constraint_adj,121,0.8769,0.3333,0.6667,0.3081
300,0.6,0.0,30,2,3407,with_constraint_tc,70,0.7385,0.4706,0.5294,0.1459
300,0.6,0.0,30,2,3407,no_constraint,76,0.7692,0.4464,0.5536,0.1676
300,0.6,0.0,30,2,7331,with_constraint_adj,128,0.9194,0.3167,0.6833,0.3298
300,0.6,0.0,30,2,7331,with_constraint_tc,99,0.8226,0.3643,0.6357,0.2386
300,0.6,0.0,30,2,7331,no_constraint,84,0.8226,0.4113,0.5887,0.1957
300,0.6,0.0,30,2,104729,with_constraint_adj,88,0.9091,0.3731,0.6269,0.2211
300,0.6,0.0,30,2,104729,with_constraint_tc,66,0.6727,0.4205,0.5795,0.1342
300,0.6,0.0,30,2,104729,no_constraint,77,0.7091,0.3714,0.6286,0.1737
300,0.6,0.0,30,2,8675309,with_constraint_adj,152,0.8571,0.2727,0.7273,0.3871
300,0.6,0.0,30,2,8675309,with_constraint_tc,55,0.6508,0.5467,0.4533,0.0914
300,0.6,0.0,30,2,8675309,no_constraint,82,0.7302,0.4071,0.5929,0.1801
300,0.4,0.2,40,2,3407,with_constraint_adj,177,0.9125,0.2992,0.7008,0.2443
300,0.4,0.2,40,2,3407,with_constraint_tc,86,0.6875,0.4661,0.5339,0.09
300,0.4,0.2,40,2,3407,no_constraint,116,0.775,0.378,0.622,0.1457
300,0.4,0.2,40,2,7331,with_constraint_adj,184,0.8901,0.3164,0.6836,0.254
300,0.4,0.2,40,2,7331,with_constraint_tc,112,0.6923,0.42,0.58,0.1263
300,0.4,0.2,40,2,7331,no_constraint,123,0.7582,0.3988,0.6012,0.1509
300,0.4,0.2,40,2,104729,with_constraint_adj,175,0.8919,0.2821,0.7179,0.238
300,0.4,0.2,40,2,104729,with_constraint_tc,88,0.6892,0.4322,0.5678,0.0949
300,0.4,0.2,40,2,104729,no_constraint,93,0.7432,0.4167,0.5833,0.1091
300,0.4,0.2,40,2,8675309,with_constraint_adj,246,0.8023,0.2292,0.7708,0.3343
300,0.4,0.2,40,2,8675309,with_constraint_tc,137,0.5814,0.3226,0.6774,0.1513
