n,true_p,false_p,n_nodes,h,seed,lambda_param,method,shd,recall,precision,fdr,fpr,f1_score
200,0.4,0.2,35,2,7331,0.1,max_soft_regulation,183,0.8611,0.2616,0.7384,0.3346,0.4012893203883494
200,0.4,0.2,35,2,7331,0.1,dsgp,49,0.3889,0.8,0.1429,0.0096,0.5233745479014216
200,0.4,0.2,35,2,7331,0.1,无先验,193,0.8472,0.25,0.75,0.3499,0.3860736419978126
200,0.4,0.2,35,2,104729,0.1,max_soft_regulation,131,0.8406,0.3187,0.6813,0.2357,0.4621741050634003
200,0.4,0.2,35,2,104729,0.1,dsgp,46,0.4058,0.8235,0.1471,0.0095,0.5436855120800455
200,0.4,0.2,35,2,104729,0.1,无先验,143,0.8261,0.2953,0.7047,0.2586,0.4350763866595327
200,0.6,0.4,35,2,3407,0.1,max_soft_regulation,191,0.8933,0.2638,0.7362,0.3596,0.4073157721890934
200,0.6,0.4,35,2,3407,0.1,dsgp,51,0.6,0.6818,0.3182,0.0404,0.6382899048213448
200,0.6,0.4,35,2,3407,0.1,无先验,163,0.9067,0.2996,0.7004,0.3058,0.4503810329105529
200,0.6,0.4,35,2,7331,0.1,max_soft_regulation,173,0.9028,0.2802,0.7198,0.3193,0.4276662045646661
200,0.6,0.4,35,2,7331,0.1,dsgp,46,0.5972,0.7049,0.2787,0.0325,0.6465959296521006
200,0.6,0.4,35,2,7331,0.1,无先验,175,0.875,0.2716,0.7284,0.3231,0.4145299145299145
200,0.6,0.4,35,2,104729,0.1,max_soft_regulation,134,0.8841,0.3194,0.6806,0.2471,0.4692672039883673
200,0.6,0.4,35,2,104729,0.1,dsgp,44,0.5942,0.6833,0.2667,0.0304,0.6356428336594913
200,0.6,0.4,35,2,104729,0.1,无先验,147,0.8841,0.3005,0.6995,0.27,0.4485430525071753
200,0.6,0.2,35,2,3407,0.1,max_soft_regulation,158,0.92,0.308,0.692,0.2981,0.4614983713355049
200,0.6,0.2,35,2,3407,0.1,dsgp,44,0.6,0.7627,0.2373,0.0269,0.6716371908710648
200,0.6,0.2,35,2,3407,0.1,无先验,152,0.9333,0.3211,0.6789,0.2846,0.4778103156887755
200,0.6,0.2,35,2,7331,0.1,max_soft_regulation,186,0.9028,0.2664,0.7336,0.3423,0.4114025316455696
200,0.6,0.2,35,2,7331,0.1,dsgp,38,0.5972,0.7963,0.1667,0.0172,0.6825265303193397
200,0.6,0.2,35,2,7331,0.1,无先验,183,0.9167,0.2705,0.7295,0.3403,0.4177347540431266
200,0.6,0.2,35,2,104729,0.1,max_soft_regulation,143,0.8841,0.3065,0.6935,0.2624,0.4551934318830842
200,0.6,0.2,35,2,104729,0.1,dsgp,38,0.5942,0.8039,0.1961,0.019,0.6833236249195336
200,0.6,0.2,35,2,104729,0.1,无先验,138,0.8841,0.3128,0.6872,0.2548,0.4621045701395271
