n,true_p,false_p,n_nodes,h,seed,lambda_param,method,shd,recall,precision,fdr,fpr
300,0.4,0.0,35,2,3407,0.1,max,167,0.8133,0.2824,0.7176,0.2981
300,0.4,0.0,35,2,3407,0.1,softplus,168,0.84,0.2851,0.7149,0.3038
300,0.4,0.0,35,2,3407,0.1,potential,160,0.84,0.2958,0.7042,0.2885
300,0.4,0.0,35,2,3407,0.1,tanh,125,0.7733,0.3412,0.6588,0.2154
300,0.4,0.0,35,2,7331,0.1,max,130,0.8611,0.3407,0.6593,0.2294
300,0.4,0.0,35,2,7331,0.1,softplus,133,0.875,0.3351,0.6649,0.239
300,0.4,0.0,35,2,7331,0.1,potential,134,0.8333,0.3261,0.6739,0.2371
300,0.4,0.0,35,2,7331,0.1,tanh,122,0.6667,0.3221,0.6779,0.1931
300,0.4,0.0,35,2,104729,0.1,max,135,0.8261,0.3149,0.6851,0.2357
300,0.4,0.0,35,2,104729,0.1,softplus,155,0.8116,0.28,0.72,0.2738
300,0.4,0.0,35,2,104729,0.1,potential,134,0.8406,0.3187,0.6813,0.2357
300,0.4,0.0,35,2,104729,0.1,tanh,118,0.7101,0.3245,0.6755,0.1939
300,0.6,0.2,35,2,3407,0.1,max,193,0.88,0.2619,0.7381,0.3577
300,0.6,0.2,35,2,3407,0.1,softplus,187,0.88,0.2694,0.7306,0.3442
300,0.6,0.2,35,2,3407,0.1,potential,201,0.92,0.2604,0.7396,0.3769
300,0.6,0.2,35,2,3407,0.1,tanh,118,0.8267,0.3669,0.6331,0.2058
300,0.6,0.2,35,2,7331,0.1,max,164,0.8889,0.2896,0.7104,0.3002
300,0.6,0.2,35,2,7331,0.1,softplus,186,0.9028,0.2664,0.7336,0.3423
300,0.6,0.2,35,2,7331,0.1,potential,180,0.8472,0.2629,0.7371,0.327
300,0.6,0.2,35,2,7331,0.1,tanh,144,0.6528,0.2781,0.7219,0.2333
300,0.6,0.2,35,2,104729,0.1,max,165,0.913,0.2838,0.7162,0.3023
300,0.6,0.2,35,2,104729,0.1,softplus,170,0.8696,0.2703,0.7297,0.308
300,0.6,0.2,35,2,104729,0.1,potential,161,0.913,0.289,0.711,0.2947
300,0.6,0.2,35,2,104729,0.1,tanh,110,0.6957,0.3429,0.6571,0.1749
300,0.6,0.0,35,2,3407,0.1,max,180,0.8933,0.2803,0.7197,0.3308
300,0.6,0.0,35,2,3407,0.1,softplus,173,0.88,0.2857,0.7143,0.3173
300,0.6,0.0,35,2,3407,0.1,potential,175,0.8667,0.2802,0.7198,0.3212
300,0.6,0.0,35,2,3407,0.1,tanh,110,0.7733,0.3742,0.6258,0.1865
300,0.6,0.0,35,2,7331,0.1,max,160,0.8889,0.2963,0.7037,0.2906
300,0.6,0.0,35,2,7331,0.1,softplus,160,0.9028,0.2982,0.7018,0.2925
300,0.6,0.0,35,2,7331,0.1,potential,177,0.875,0.2716,0.7284,0.3231
300,0.6,0.0,35,2,7331,0.1,tanh,140,0.6528,0.2866,0.7134,0.2237
300,0.6,0.0,35,2,104729,0.1,max,158,0.8986,0.2911,0.7089,0.2871
300,0.6,0.0,35,2,104729,0.1,softplus,158,0.913,0.2917,0.7083,0.2909
300,0.6,0.0,35,2,104729,0.1,potential,146,0.8986,0.3069,0.6931,0.2662
300,0.6,0.0,35,2,104729,0.1,tanh,123,0.7391,0.3208,0.6792,0.2053
