n,true_p,false_p,n_nodes,h,seed,method,shd,recall,precision,fdr,fpr
300,0.4,0.0,30,2,104729,no_constraint,72,0.7273,0.3922,0.6078,0.1632
300,0.4,0.0,30,2,8675309,with_constraint_adj,121,0.8254,0.3171,0.6829,0.3011
300,0.4,0.0,30,2,8675309,with_constraint_tc,64,0.6349,0.4706,0.5294,0.121
300,0.4,0.0,30,2,8675309,no_constraint,82,0.7143,0.3982,0.6018,0.1828
300,0.6,0.2,30,2,3407,with_constraint_adj,137,0.9077,0.3105,0.6895,0.3541
300,0.6,0.2,30,2,3407,with_constraint_tc,79,0.7385,0.4286,0.5714,0.173
300,0.6,0.2,30,2,3407,no_constraint,78,0.7692,0.431,0.569,0.1784
300,0.6,0.2,30,2,7331,with_constraint_adj,133,0.9677,0.3141,0.6859,0.3512
300,0.6,0.2,30,2,7331,with_constraint_tc,57,0.6935,0.5309,0.4691,0.1019
300,0.6,0.2,30,2,7331,no_constraint,69,0.8065,0.463,0.537,0.1555
300,0.6,0.2,30,2,104729,with_constraint_adj,98,0.9273,0.3493,0.6507,0.25
300,0.6,0.2,30,2,104729,with_constraint_tc,61,0.6727,0.4512,0.5488,0.1184
300,0.6,0.2,30,2,104729,no_constraint,76,0.7091,0.3824,0.6176,0.1658
300,0.6,0.2,30,2,8675309,with_constraint_adj,140,0.9683,0.3065,0.6935,0.371
300,0.6,0.2,30,2,8675309,with_constraint_tc,55,0.5873,0.5522,0.4478,0.0806
300,0.6,0.2,30,2,8675309,no_constraint,72,0.8095,0.4513,0.5487,0.1667
300,0.6,0.0,30,2,3407,with_constraint_adj,122,0.8923,0.3353,0.6647,0.3108
300,0.6,0.0,30,2,3407,with_constraint_tc,82,0.6923,0.4091,0.5909,0.1757
300,0.6,0.0,30,2,3407,no_constraint,86,0.7385,0.4,0.6,0.1946
300,0.6,0.0,30,2,7331,with_constraint_adj,117,0.9516,0.341,0.659,0.3056
300,0.6,0.0,30,2,7331,with_constraint_tc,74,0.8226,0.4435,0.5565,0.1716
300,0.6,0.0,30,2,7331,no_constraint,74,0.8226,0.4435,0.5565,0.1716
300,0.6,0.0,30,2,104729,with_constraint_adj,100,0.8909,0.3427,0.6573,0.2474
300,0.6,0.0,30,2,104729,with_constraint_tc,64,0.6909,0.4368,0.5632,0.1289
300,0.6,0.0,30,2,104729,no_constraint,70,0.7091,0.398,0.602,0.1553
300,0.6,0.0,30,2,8675309,with_constraint_adj,119,0.9365,0.3391,0.6609,0.3091
300,0.6,0.0,30,2,8675309,with_constraint_tc,60,0.6032,0.5135,0.4865,0.0968
300,0.6,0.0,30,2,8675309,no_constraint,78,0.7143,0.4167,0.5833,0.1694
