n,true_p,false_p,n_nodes,h,seed,method,shd,recall,precision,fdr,fpr
300,0.4,0.2,15,2,3407,with_constraint_adj,37,0.8235,0.4746,0.5254,0.4366
300,0.4,0.2,15,2,3407,with_constraint_tc,28,0.7941,0.5625,0.4375,0.2958
300,0.4,0.2,15,2,3407,no_constraint,22,0.8235,0.6222,0.3778,0.2394
300,0.4,0.2,15,2,7331,with_constraint_adj,30,0.8333,0.4167,0.5833,0.3457
300,0.4,0.2,15,2,7331,with_constraint_tc,13,0.75,0.6667,0.3333,0.1111
300,0.4,0.2,15,2,7331,no_constraint,12,0.75,0.6923,0.3077,0.0988
300,0.4,0.2,15,2,104729,with_constraint_adj,33,0.9,0.4737,0.5263,0.4
300,0.4,0.2,15,2,104729,with_constraint_tc,17,0.8333,0.6757,0.3243,0.16
300,0.4,0.2,15,2,104729,no_constraint,15,0.8,0.7059,0.2941,0.1333
300,0.4,0.2,15,2,8675309,with_constraint_adj,42,0.8485,0.4308,0.5692,0.5139
300,0.4,0.2,15,2,8675309,with_constraint_tc,14,0.7879,0.7879,0.2121,0.0972
300,0.4,0.2,15,2,8675309,no_constraint,13,0.8182,0.7714,0.2286,0.1111
300,0.4,0.0,15,2,3407,with_constraint_adj,28,0.8529,0.5577,0.4423,0.3239
300,0.4,0.0,15,2,3407,with_constraint_tc,26,0.7941,0.587,0.413,0.2676
300,0.4,0.0,15,2,3407,no_constraint,26,0.7941,0.587,0.413,0.2676
300,0.4,0.0,15,2,7331,with_constraint_adj,27,0.75,0.439,0.561,0.284
300,0.4,0.0,15,2,7331,with_constraint_tc,12,0.75,0.6923,0.3077,0.0988
300,0.4,0.0,15,2,7331,no_constraint,14,0.75,0.6429,0.3571,0.1235
300,0.4,0.0,15,2,104729,with_constraint_adj,26,0.9333,0.5385,0.4615,0.32
300,0.4,0.0,15,2,104729,with_constraint_tc,20,0.7667,0.6389,0.3611,0.1733
300,0.4,0.0,15,2,104729,no_constraint,16,0.8333,0.6757,0.3243,0.16
300,0.4,0.0,15,2,8675309,with_constraint_adj,38,0.8182,0.45,0.55,0.4583
300,0.4,0.0,15,2,8675309,with_constraint_tc,14,0.7879,0.7647,0.2353,0.1111
300,0.4,0.0,15,2,8675309,no_constraint,18,0.8182,0.675,0.325,0.1806
300,0.6,0.2,15,2,3407,with_constraint_adj,36,0.8824,0.4762,0.5238,0.4648
300,0.6,0.2,15,2,3407,with_constraint_tc,20,0.7941,0.675,0.325,0.1831
300,0.6,0.2,15,2,3407,no_constraint,26,0.7647,0.5909,0.4091,0.2535
300,0.6,0.2,15,2,7331,with_constraint_adj,30,1.0,0.4444,0.5556,0.3704
300,0.6,0.2,15,2,7331,with_constraint_tc,16,0.5833,0.6087,0.3913,0.1111
300,0.6,0.2,15,2,7331,no_constraint,14,0.75,0.6429,0.3571,0.1235
300,0.6,0.2,15,2,104729,with_constraint_adj,41,0.9,0.4154,0.5846,0.5067
300,0.6,0.2,15,2,104729,with_constraint_tc,16,0.6667,0.7692,0.2308,0.08
300,0.6,0.2,15,2,104729,no_constraint,16,0.8667,0.6667,0.3333,0.1733
300,0.6,0.2,15,2,8675309,with_constraint_adj,47,0.8788,0.4028,0.5972,0.5972
300,0.6,0.2,15,2,8675309,with_constraint_tc,16,0.7576,0.7576,0.2424,0.1111
300,0.6,0.2,15,2,8675309,no_constraint,14,0.8182,0.75,0.25,0.125
300,0.6,0.0,15,2,3407,with_constraint_adj,31,0.9118,0.5254,0.4746,0.3944
300,0.6,0.0,15,2,3407,with_constraint_tc,26,0.7059,0.6,0.4,0.2254
300,0.6,0.0,15,2,3407,no_constraint,22,0.7941,0.6279,0.3721,0.2254
300,0.6,0.0,15,2,7331,with_constraint_adj,28,0.9167,0.44,0.56,0.3457
300,0.6,0.0,15,2,7331,with_constraint_tc,14,0.7083,0.6538,0.3462,0.1111
300,0.6,0.0,15,2,7331,no_constraint,14,0.75,0.6429,0.3571,0.1235
300,0.6,0.0,15,2,104729,with_constraint_adj,35,0.9333,0.459,0.541,0.44
300,0.6,0.0,15,2,104729,with_constraint_tc,17,0.7333,0.7097,0.2903,0.12
300,0.6,0.0,15,2,104729,no_constraint,16,0.8667,0.6667,0.3333,0.1733
300,0.6,0.0,15,2,8675309,with_constraint_adj,38,0.8788,0.4603,0.5397,0.4722
300,0.6,0.0,15,2,8675309,with_constraint_tc,18,0.7879,0.6667,0.3333,0.1806
300,0.6,0.0,15,2,8675309,no_constraint,14,0.8182,0.75,0.25,0.125
300,0.4,0.2,30,2,3407,with_constraint_adj,121,0.8615,0.3314,0.6686,0.3054
300,0.4,0.2,30,2,3407,with_constraint_tc,57,0.7077,0.5412,0.4588,0.1054
300,0.4,0.2,30,2,3407,no_constraint,82,0.7538,0.4188,0.5812,0.1838
300,0.4,0.2,30,2,7331,with_constraint_adj,114,0.9032,0.3373,0.6627,0.2949
300,0.4,0.2,30,2,7331,with_constraint_tc,62,0.6452,0.5,0.5,0.1072
300,0.4,0.2,30,2,7331,no_constraint,85,0.7742,0.4,0.6,0.193
300,0.4,0.2,30,2,104729,with_constraint_adj,87,0.8364,0.371,0.629,0.2053
300,0.4,0.2,30,2,104729,with_constraint_tc,49,0.6545,0.5217,0.4783,0.0868
300,0.4,0.2,30,2,104729,no_constraint,76,0.7091,0.3786,0.6214,0.1684
300,0.4,0.2,30,2,8675309,with_constraint_adj,127,0.7937,0.2994,0.7006,0.3145
300,0.4,0.2,30,2,8675309,with_constraint_tc,64,0.6349,0.4878,0.5122,0.1129
300,0.4,0.2,30,2,8675309,no_constraint,69,0.746,0.4563,0.5437,0.1505
300,0.4,0.0,30,2,3407,with_constraint_adj,100,0.8462,0.3767,0.6233,0.2459
300,0.4,0.0,30,2,3407,with_constraint_tc,87,0.7538,0.4016,0.5984,0.1973
300,0.4,0.0,30,2,3407,no_constraint,75,0.7538,0.4455,0.5545,0.1649
300,0.4,0.0,30,2,7331,with_constraint_adj,102,0.9677,0.375,0.625,0.2681
300,0.4,0.0,30,2,7331,with_constraint_tc,90,0.8387,0.391,0.609,0.2172
300,0.4,0.0,30,2,7331,no_constraint,74,0.7903,0.4375,0.5625,0.1689
300,0.4,0.0,30,2,104729,with_constraint_adj,89,0.8364,0.3651,0.6349,0.2105
300,0.4,0.0,30,2,104729,with_constraint_tc,66,0.6727,0.4253,0.5747,0.1316
