n,true_p,false_p,n_nodes,h,seed,method,shd,recall,precision,fdr,fpr
1200,0.4,0.2,10,2,3407,with_constraint_adj,9,0.65,0.6842,0.3158,0.24
1200,0.4,0.2,10,2,3407,with_constraint_tc,9,0.65,0.8125,0.1875,0.12
1200,0.4,0.2,10,2,3407,no_constraint,9,0.6,0.75,0.25,0.16
1200,0.4,0.2,10,2,7331,with_constraint_adj,3,0.8333,0.9091,0.0909,0.0303
1200,0.4,0.2,10,2,7331,with_constraint_tc,5,0.6667,0.8889,0.1111,0.0303
1200,0.4,0.2,10,2,7331,no_constraint,6,0.5833,0.7778,0.2222,0.0606
1200,0.4,0.2,10,2,104729,with_constraint_adj,6,0.8333,0.8333,0.1667,0.1111
1200,0.4,0.2,10,2,104729,with_constraint_tc,6,0.7778,0.875,0.125,0.0741
1200,0.4,0.2,10,2,104729,no_constraint,6,0.7778,0.875,0.125,0.0741
1200,0.4,0.2,10,2,8675309,with_constraint_adj,2,0.9444,0.9444,0.0556,0.037
1200,0.4,0.2,10,2,8675309,with_constraint_tc,3,0.8889,0.9412,0.0588,0.037
1200,0.4,0.2,10,2,8675309,no_constraint,2,0.8889,0.9412,0.0588,0.037
1200,0.4,0.0,10,2,3407,with_constraint_adj,8,0.65,0.7647,0.2353,0.16
1200,0.4,0.0,10,2,3407,with_constraint_tc,8,0.65,0.9286,0.0714,0.04
1200,0.4,0.0,10,2,3407,no_constraint,9,0.6,0.8,0.2,0.12
1200,0.4,0.0,10,2,7331,with_constraint_adj,3,0.8333,0.9091,0.0909,0.0303
1200,0.4,0.0,10,2,7331,with_constraint_tc,5,0.6667,0.8889,0.1111,0.0303
1200,0.4,0.0,10,2,7331,no_constraint,5,0.6667,0.8889,0.1111,0.0303
1200,0.4,0.0,10,2,104729,with_constraint_adj,5,0.8333,0.8824,0.1176,0.0741
1200,0.4,0.0,10,2,104729,with_constraint_tc,6,0.7778,0.875,0.125,0.0741
1200,0.4,0.0,10,2,104729,no_constraint,6,0.7778,0.875,0.125,0.0741
1200,0.4,0.0,10,2,8675309,with_constraint_adj,0,1.0,1.0,0.0,0.0
1200,0.4,0.0,10,2,8675309,with_constraint_tc,1,0.9444,1.0,0.0,0.0
1200,0.4,0.0,10,2,8675309,no_constraint,2,0.8889,0.9412,0.0588,0.037
1200,0.6,0.2,10,2,3407,with_constraint_adj,5,0.85,0.8095,0.1905,0.16
1200,0.6,0.2,10,2,3407,with_constraint_tc,9,0.65,0.7647,0.2353,0.16
1200,0.6,0.2,10,2,3407,no_constraint,9,0.6,0.75,0.25,0.16
1200,0.6,0.2,10,2,7331,with_constraint_adj,2,0.9167,0.9167,0.0833,0.0303
1200,0.6,0.2,10,2,7331,with_constraint_tc,4,0.75,0.9,0.1,0.0303
1200,0.6,0.2,10,2,7331,no_constraint,6,0.5833,0.7778,0.2222,0.0606
1200,0.6,0.2,10,2,104729,with_constraint_adj,6,0.8889,0.8,0.2,0.1481
1200,0.6,0.2,10,2,104729,with_constraint_tc,6,0.7778,0.875,0.125,0.0741
