n,true_p,false_p,n_nodes,h,seed,lambda_param,method,shd,recall,precision,fdr,fpr,f1_score
300,0.4,0.2,35,2,7331,0.1,max_soft_regulation,89,0.8333,0.4317,0.5683,0.1511,0.5687519525691699
300,0.4,0.2,35,2,7331,0.1,dsgp,47,0.4167,0.8333,0.1389,0.0096,0.555577776
300,0.4,0.2,35,2,7331,0.1,无先验,98,0.8056,0.4028,0.5972,0.1644,0.5370666666666667
300,0.4,0.2,35,2,104729,0.1,max_soft_regulation,102,0.8261,0.38,0.62,0.1768,0.5205505347815272
300,0.4,0.2,35,2,104729,0.1,dsgp,46,0.4058,0.7568,0.1622,0.0114,0.5283148804403922
300,0.4,0.2,35,2,104729,0.1,无先验,104,0.8116,0.3709,0.6291,0.1806,0.5091288625792811
300,0.6,0.4,35,2,3407,0.1,max_soft_regulation,115,0.92,0.3855,0.6145,0.2115,0.5433320566832631
300,0.6,0.4,35,2,3407,0.1,dsgp,49,0.6,0.6923,0.3077,0.0385,0.6428538265108721
300,0.6,0.4,35,2,3407,0.1,无先验,118,0.9333,0.3825,0.6175,0.2173,0.5426162790697675
300,0.6,0.4,35,2,7331,0.1,max_soft_regulation,97,0.8889,0.4156,0.5844,0.1721,0.5663884093522423
300,0.6,0.4,35,2,7331,0.1,dsgp,44,0.625,0.7031,0.2656,0.0325,0.6617536330095625
300,0.6,0.4,35,2,7331,0.1,无先验,110,0.9167,0.386,0.614,0.2008,0.5432504797727796
300,0.6,0.4,35,2,104729,0.1,max_soft_regulation,119,0.8696,0.3488,0.6512,0.2129,0.4978931057124097
300,0.6,0.4,35,2,104729,0.1,dsgp,44,0.5942,0.7069,0.2759,0.0304,0.6456690185227884
300,0.6,0.4,35,2,104729,0.1,无先验,105,0.8406,0.3791,0.6209,0.1806,0.5225407231286382
300,0.6,0.2,35,2,3407,0.1,max_soft_regulation,104,0.9467,0.4152,0.5848,0.1923,0.5772374476833836
300,0.6,0.2,35,2,3407,0.1,dsgp,39,0.6,0.8333,0.1667,0.0173,0.6976627363427056
300,0.6,0.2,35,2,3407,0.1,无先验,90,0.9467,0.4522,0.5478,0.1654,0.6120490957180642
300,0.6,0.2,35,2,7331,0.1,max_soft_regulation,107,0.8889,0.3926,0.6074,0.1893,0.5446463363246196
300,0.6,0.2,35,2,7331,0.1,dsgp,37,0.5972,0.8269,0.1538,0.0153,0.6935252861456358
300,0.6,0.2,35,2,7331,0.1,无先验,100,0.875,0.4091,0.5909,0.174,0.5575305661552838
300,0.6,0.2,35,2,104729,0.1,max_soft_regulation,100,0.8696,0.3974,0.6026,0.173,0.5455075611681137
300,0.6,0.2,35,2,104729,0.1,dsgp,36,0.6232,0.7963,0.1852,0.019,0.6991957168016908
300,0.6,0.2,35,2,104729,0.1,无先验,93,0.8696,0.4167,0.5833,0.1597,0.563418051776413
