Method,SHD vs True_Graph,Precision vs True_Graph,Recall vs True_Graph,F1 vs True_Graph,FDR vs True_Graph,TPR vs True_Graph,FPR vs True_Graph
No_Prior,65,0.9,0.2195,0.3529,0.1,0.2195,0.0185
Active_Constraints,32,0.963,0.6341,0.7647,0.037,0.6341,0.0185
Inactive_Constraints,64,0.95,0.2317,0.3725,0.05,0.2317,0.0093
Both_Constraints,30,0.9643,0.6585,0.7826,0.0357,0.6585,0.0185
