Method Comparison,SHD Difference,Precision Difference,Recall Difference,F1 Difference
No_Prior vs Active_Constraints,33,0.06299999999999994,0.41459999999999997,0.41180000000000005
No_Prior vs Inactive_Constraints,1,0.04999999999999993,0.012199999999999989,0.019600000000000006
No_Prior vs Both_Constraints,35,0.06430000000000002,0.43899999999999995,0.42969999999999997
Active_Constraints vs Inactive_Constraints,32,0.013000000000000012,0.4024,0.39220000000000005
Active_Constraints vs Both_Constraints,2,0.0013000000000000789,0.024399999999999977,0.017899999999999916
Inactive_Constraints vs Both_Constraints,34,0.01430000000000009,0.42679999999999996,0.41009999999999996
