n,true_p,false_p,n_nodes,h,seed,lambda_param,variant,variant_label,train_time_sec,shd,recall,precision,fdr,fpr,F1
300,0.6,0.0,15,2,7329,1,closure_inverse,传递闭包 + 逆矩阵,33.375,17,0.7273,0.5926,0.4074,0.1325,0.6531
300,0.6,0.0,15,2,7329,1,closure_power,传递闭包 + 幂法,12.530999999995402,13,0.5455,0.8,0.2,0.0361,0.6486
300,0.6,0.0,15,2,7329,1,no_constraint,无约束,15.25,17,0.6364,0.6087,0.3913,0.1084,0.6222
300,0.6,0.0,15,2,104729,1,closure_inverse,传递闭包 + 逆矩阵,36.68699999999808,23,0.8,0.5854,0.4146,0.2267,0.6761
300,0.6,0.0,15,2,104729,1,closure_power,传递闭包 + 幂法,21.406000000002678,17,0.6,0.7826,0.2174,0.0667,0.6792
300,0.6,0.0,15,2,104729,1,no_constraint,无约束,43.25,18,0.8,0.6486,0.3514,0.1733,0.7164
300,0.6,0.0,15,2,2015,1,closure_inverse,传递闭包 + 逆矩阵,21.64100000000326,6,0.8261,0.8636,0.1364,0.0366,0.8444
300,0.6,0.0,15,2,2015,1,closure_power,传递闭包 + 幂法,14.203000000001339,14,0.5652,0.6842,0.3158,0.0732,0.619
300,0.6,0.0,15,2,2015,1,no_constraint,无约束,17.54699999999866,15,0.5217,0.6316,0.3684,0.0854,0.5714
300,0.4,0.2,30,2,3407,1,closure_inverse,传递闭包 + 逆矩阵,303.42200000000594,81,0.7846,0.425,0.575,0.1865,0.5514
300,0.4,0.2,30,2,3407,1,closure_power,传递闭包 + 幂法,252.01600000000326,69,0.6462,0.4719,0.5281,0.127,0.5455
300,0.4,0.2,30,2,3407,1,no_constraint,无约束,14779.483999999997,85,0.7538,0.405,0.595,0.1946,0.5269
300,0.4,0.2,30,2,7329,1,closure_inverse,传递闭包 + 逆矩阵,106.39100000000326,42,0.7045,0.5,0.5,0.0793,0.5849
300,0.4,0.2,30,2,7329,1,closure_power,传递闭包 + 幂法,130.65600000000268,36,0.4318,0.6333,0.3667,0.0281,0.5135
300,0.4,0.2,30,2,7329,1,no_constraint,无约束,112.82800000000861,39,0.6591,0.537,0.463,0.0639,0.5918
300,0.4,0.2,30,2,104729,1,closure_inverse,传递闭包 + 逆矩阵,137.28100000000268,54,0.7636,0.506,0.494,0.1079,0.6087
300,0.4,0.2,30,2,104729,1,closure_power,传递闭包 + 幂法,73.84399999999732,64,0.6545,0.4337,0.5663,0.1237,0.5217
300,0.4,0.2,30,2,104729,1,no_constraint,无约束,132.17199999999139,76,0.7273,0.381,0.619,0.1711,0.5
300,0.4,0.2,30,2,2015,1,closure_inverse,传递闭包 + 逆矩阵,152.59399999999732,36,0.8125,0.5821,0.4179,0.0724,0.6783
300,0.4,0.2,30,2,2015,1,closure_power,传递闭包 + 幂法,99.07799999999406,27,0.6667,0.7273,0.2727,0.031,0.6957
300,0.4,0.2,30,2,2015,1,no_constraint,无约束,216.5159999999887,31,0.8125,0.6393,0.3607,0.0568,0.7156
300,0.4,0.0,30,2,3407,1,closure_inverse,传递闭包 + 逆矩阵,341.5149999999994,73,0.7692,0.4587,0.5413,0.1595,0.5747
300,0.4,0.0,30,2,3407,1,closure_power,传递闭包 + 幂法,83.03100000000268,69,0.7385,0.466,0.534,0.1486,0.5714
300,0.4,0.0,30,2,3407,1,no_constraint,无约束,210.5619999999908,71,0.8154,0.4609,0.5391,0.1676,0.5889
300,0.4,0.0,30,2,7329,1,closure_inverse,传递闭包 + 逆矩阵,213.84300000000803,40,0.7273,0.5333,0.4667,0.0716,0.6154
300,0.4,0.0,30,2,7329,1,closure_power,传递闭包 + 幂法,223.31299999999464,41,0.6364,0.5091,0.4909,0.0691,0.5657
300,0.4,0.0,30,2,7329,1,no_constraint,无约束,156.34400000001187,39,0.6591,0.537,0.463,0.0639,0.5918
300,0.4,0.0,30,2,104729,1,closure_inverse,传递闭包 + 逆矩阵,218.31200000000536,53,0.7636,0.5122,0.4878,0.1053,0.6131
300,0.4,0.0,30,2,104729,1,closure_power,传递闭包 + 幂法,121.43799999999464,69,0.6545,0.4091,0.5909,0.1368,0.5035
300,0.4,0.0,30,2,104729,1,no_constraint,无约束,171.96899999999732,73,0.7273,0.3922,0.6078,0.1632,0.5096
300,0.4,0.0,30,2,2015,1,closure_inverse,传递闭包 + 逆矩阵,236.4369999999908,34,0.875,0.6,0.4,0.0724,0.7119
300,0.4,0.0,30,2,2015,1,closure_power,传递闭包 + 幂法,185.53199999999197,51,0.6875,0.4714,0.5286,0.0956,0.5593
300,0.4,0.0,30,2,2015,1,no_constraint,无约束,338.0630000000092,41,0.8125,0.5417,0.4583,0.0853,0.65
300,0.6,0.2,30,2,3407,1,closure_inverse,传递闭包 + 逆矩阵,238.40600000000268,73,0.8462,0.4661,0.5339,0.1703,0.6011
300,0.6,0.2,30,2,3407,1,closure_power,传递闭包 + 幂法,234.54700000000594,72,0.6769,0.4583,0.5417,0.1405,0.5466
300,0.6,0.2,30,2,3407,1,no_constraint,无约束,285.0789999999979,73,0.7385,0.4486,0.5514,0.1595,0.5581
300,0.6,0.2,30,2,7329,1,closure_inverse,传递闭包 + 逆矩阵,113.68799999999464,35,0.7727,0.5763,0.4237,0.0639,0.6602
300,0.6,0.2,30,2,7329,1,closure_power,传递闭包 + 幂法,258.2649999999994,30,0.4773,0.75,0.25,0.0179,0.5833
300,0.6,0.2,30,2,7329,1,no_constraint,无约束,250.03100000000268,45,0.6818,0.4688,0.5312,0.087,0.5556
300,0.6,0.2,30,2,104729,1,closure_inverse,传递闭包 + 逆矩阵,228.43700000000536,48,0.6545,0.5455,0.4545,0.0789,0.595
300,0.6,0.2,30,2,104729,1,closure_power,传递闭包 + 幂法,612.8439999999973,36,0.6,0.6735,0.3265,0.0421,0.6346
300,0.6,0.2,30,2,104729,1,no_constraint,无约束,327.9070000000065,68,0.7273,0.4167,0.5833,0.1474,0.5298
300,0.6,0.2,30,2,2015,1,closure_inverse,传递闭包 + 逆矩阵,218.60899999999674,34,0.7917,0.6129,0.3871,0.062,0.6909
300,0.6,0.2,30,2,2015,1,closure_power,传递闭包 + 幂法,116.57799999999406,32,0.6042,0.6744,0.3256,0.0362,0.6374
300,0.6,0.2,30,2,2015,1,no_constraint,无约束,311.17200000000594,50,0.8333,0.4819,0.5181,0.1111,0.6107
300,0.6,0.0,30,2,3407,1,closure_inverse,传递闭包 + 逆矩阵,289.2810000000027,77,0.8615,0.4516,0.5484,0.1838,0.5926
300,0.6,0.0,30,2,3407,1,closure_power,传递闭包 + 幂法,218.81299999999464,69,0.7077,0.4646,0.5354,0.1432,0.561
300,0.6,0.0,30,2,3407,1,no_constraint,无约束,389.73399999999674,79,0.7692,0.431,0.569,0.1784,0.5525
300,0.6,0.0,30,2,7329,1,closure_inverse,传递闭包 + 逆矩阵,114.75,35,0.8182,0.5625,0.4375,0.0716,0.6667
300,0.6,0.0,30,2,7329,1,closure_power,传递闭包 + 幂法,52.51499999999942,41,0.6818,0.5,0.5,0.0767,0.5769
300,0.6,0.0,30,2,7329,1,no_constraint,无约束,129.92200000000594,40,0.7045,0.5254,0.4746,0.0716,0.6019
300,0.6,0.0,30,2,104729,1,closure_inverse,传递闭包 + 逆矩阵,108.4380000000092,59,0.7273,0.4762,0.5238,0.1158,0.5755
300,0.6,0.0,30,2,104729,1,closure_power,传递闭包 + 幂法,80.6710000000021,69,0.7091,0.4149,0.5851,0.1447,0.5235
300,0.6,0.0,30,2,104729,1,no_constraint,无约束,214.51499999999942,81,0.7091,0.3578,0.6422,0.1842,0.4756
300,0.6,0.0,30,2,2015,1,closure_inverse,传递闭包 + 逆矩阵,207.81299999999464,34,0.875,0.6,0.4,0.0724,0.7119
300,0.6,0.0,30,2,2015,1,closure_power,传递闭包 + 幂法,375.5929999999935,28,0.75,0.6923,0.3077,0.0413,0.72
300,0.6,0.0,30,2,2015,1,no_constraint,无约束,174.4840000000113,46,0.8333,0.5063,0.4937,0.1008,0.6299
